"RNA-seq counts from 3' sequencing, normalized to 10M reads",,,,,,,,,,,,,,,,,
UNIQUD,NAME,LT-HSC,HSC,MPP,CLP,CMP,GMP,MF,Granulocyte,Mono,B,CD4,CD8,NK,MEP,EryA,EryB
NM_001136062,Eno3,86.824,71.2548,26.902,30.6767,45.3965,30.7833,68.2882,63.6424,195.3578,128.2797,62.2126,107.276,780.3224,82.0201,19.5862,14.217
NM_009141,Cxcl5,0,0,0,0,0.3491,0,0,0,0,0,0,0,0,0,0,0
NM_001199936,Mup16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_021327,Tnip1,424.473,396.1753,168.7867,154.139,215.4518,238.5726,168.1305,170.3504,157.9449,694.4095,632.6955,567.0642,729.1788,160.0152,76.3457,57.814
NM_013522,Frg1,492.003,179.5617,74.9354,127.9831,138.9848,130.091,41.669,44.6527,62.9518,156.1721,90.0059,87.315,204.6633,135.0771,151.6807,99.517
NM_018873,Srcin1,9.647,5.7006,2.7552,0,0.6984,0,1.5772,0.4699,0.224,13.9467,0,1.663,51.1628,0.8035,0,0
NM_175650,Atp13a5,0,32.776,5.248,0,0,0,0,0.0196,0,0,0,0,0,0,1.5065,0
NR_105808,Mir6386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242364,Fam160a2,96.471,138.2338,40.9475,53.0065,43.299,73.2921,70.8158,97.6308,55.1079,172.8934,80.744,117.2453,119.378,158.3896,49.7233,20.851
NM_001082962,Snrpn,0,37.0518,7.086,2.2725,3.8401,8.0628,2.5985,1.4884,3.1362,2.7893,2.6478,10.8108,4.2648,1.607,1.5071,0
NM_001190352,Tmem132b,0,15.6754,5.248,0.7579,3.491,0.3662,0.3713,5.0168,1.568,8.3681,14.5605,4.1584,8.5298,2.4105,1.0044,0
NM_001166428,Hnrnpf,733.18,277.8932,134.6441,250.7185,207.0609,237.8444,80.1791,36.5434,69.4511,150.5853,153.5439,177.1228,328.3113,651.2371,205.3957,74.874
NM_175417,Adtrp,19.294,15.6756,9.7095,1.1356,1.0475,0.7331,2.0421,6.6658,0.8962,0,0,0,0,2.4118,0,0
NM_001024853,Timm9,1061.182,634.1596,214.983,324.923,408.5632,379.6585,64.6815,24.768,57.1255,454.5858,251.4986,344.2425,315.5271,984.9012,26.6162,6.634
NM_001191023,Dync1i1,0,65.5536,6.5606,0.3785,1.0479,1.099,0.3709,0.0979,0.448,0,0,0.8318,0,0.8035,1.0046,0.948
NR_045829,4921511I17Rik,0,11.4002,3.1489,0,1.0478,0,0,0.8411,0.2241,0,7.9425,1.6624,0,0.8035,0,0
NM_001202446,Mapk8ip1,19.294,7.1257,0.7873,6.0587,0.3491,0,0.9282,2.4061,0,0,1.3235,0.8312,4.2632,0,0,0
NM_178774,Prr18,28.941,0,0.3936,3.0299,4.1893,1.4658,0.2785,0.5291,1.3443,5.5788,5.2954,1.6627,0,2.4143,0,0
NR_077239,A230009B12Rik,0,0,0,0,0,0,0.2781,0,0,0,0,0,0,0,0,0
NM_010143,Ephb3,0,0,0,0,0,0,0,0.8998,0,0,0,0,0,1.6083,1.0044,0
NM_001009573,Unc13d,694.592,951.9608,204.711,214.3497,179.4912,151.3456,130.0125,114.2508,99.236,437.8209,242.2279,309.3334,673.6992,475.1971,45.7083,14.217
NM_027139,Taf9,241.178,37.0524,36.2222,101.8708,86.9499,104.0769,18.7475,5.4997,14.5619,58.5648,37.0629,29.1044,85.2782,258.0604,39.6753,24.642
NM_001166595,Eif5a,10090.876,11385.0112,3653.0662,5360.4212,3700.3461,4315.8015,1017.8377,270.2905,642.5141,3765.0843,1389.8542,1761.1495,2993.1432,9428.5002,1599.0475,690.93
NM_010336,Lpar1,9.647,35.6266,33.4601,49.5968,17.4626,13.1904,7.3306,7.9265,6.4975,19.5208,10.5895,23.2836,29.8504,39.4109,25.6138,17.06
NR_045947,D230030E09Rik,0,0,0.2624,0,0,0.7331,0,0.0589,0,0,0,0,0,0,0,0
NM_016886,Gria3,164.001,136.8074,191.9302,342.9812,940.741,796.6806,14.5724,17.0194,34.9478,16.7303,17.2079,108.9161,12.7946,55.4882,6.0271,3.791
NM_025488,1700001K19Rik,0,0,0.3936,0,0,0,0,0,0,0,0,0,0,0,0,1.896
NM_026669,Tmbim6,3829.902,1969.4841,998.4764,1141.4007,1518.905,2210.9826,1221.725,644.6596,1437.6068,1784.8509,1093.3325,1096.8521,5001.5866,2744.8417,1092.3812,780.968
NM_019659,Kcnj1,0,0,0,0,0,0,0.0929,0,0,19.5219,0,0,0,0,0.5025,0
NM_001267796,Igip,57.883,8.5504,5.7736,12.4937,12.9216,9.5275,3.4326,2.2312,7.841,39.0439,41.033,24.1125,55.4328,39.3874,3.5155,2.843
NR_045975,4930519D14Rik,0,0,0.2624,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_028506,Ccdc30,0,27.0759,6.9538,3.7858,1.3969,1.099,0.2784,0.0782,0,0,23.8275,40.743,12.7894,1.6083,0,0
NM_010806,Mllt4,86.824,104.0312,19.6825,14.0102,21.6493,1.8323,14.9385,29.3917,32.7105,11.1527,11.913,23.2813,251.5577,17.6856,1.0046,0.948
NM_028977,Lrrc17,0,1.4252,0,0,0,0,0,0.1369,0.6721,0,0,0,0,4.8223,0,0
NR_030555,Mir297c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005506,Txlna,742.827,431.7994,185.565,242.7303,248.6315,278.8785,80.6464,28.395,63.8483,281.6869,157.5173,148.8406,166.2966,449.5054,81.8698,30.329
NM_178164,Ptbp3,607.768,870.7241,204.2417,420.6196,618.7659,615.295,127.1166,230.9881,280.2776,1862.9409,631.397,513.0544,1445.4641,806.4168,358.5989,255.9
NR_104436,Clmn,0,2.8501,8.1345,6.0571,1.7462,1.099,0.4637,1.2519,1.1198,0,0,3.3273,0,0,0,0.948
NM_030052,Cox7b2,0,4.2752,3.1489,0,0,0,0,0,0,0,0,0,0,0.8035,0,0
NM_001011821,Olfr804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_013933,Vapa,713.886,327.768,169.9828,238.1821,420.7604,497.3014,122.7645,88.9327,136.2132,267.709,150.8972,207.878,298.4778,664.9078,81.3624,45.493
NM_001276679,Syt6,0,1.4251,0.7872,0.3788,0,0.3665,0.2785,0,0,2.7893,0,9.1466,0,0,0.5025,0
NM_010349,Grik2,19.294,32.7764,11.1534,0,3.4915,3.2985,0.7425,0.3725,0.672,5.5788,0,2.4951,0,2.4118,1.5071,0
