Symbols,Genes ,b05 Neutrophil1 Exp2,b07 Neutrophil3 Exp2,b10 Monocyte1 Exp2,b11 Monocyte2 Exp2,a01 brain microglia1 Exp1 m,a02 brain microglia2 Exp1 m,a06 peritoneum Mac1 Exp1 m,a07 peritoneum Mac2 Exp1 m,b08 Spleen Mac1 Exp2,b09 Spleen Mac2 Exp2,b04 Kupffer Exp2,b15 Kupffer2 Exp2,a12 LI Mac2 Exp1 m,a13 LI Mac3 Exp1 m,a10 SI Mac3 Exp1 m,a11 SI Mac4 Exp1 m,b02 lung Exp2,b17 lung mac2 Exp2
SLFN8,NM_181545,74.49429019,118.6909492,111.3432469,100.7384143,210.0037426,212.0585033,132.3804058,83.04719105,68.27136202,96.51179514,119.0691678,144.7505455,73.68544995,57.58086473,104.7553846,63.72000951,15.1710837,2.213972553
B9D2,NM_172148,85.43160216,26.37576649,61.3752344,53.70442225,47.9203171,51.91377567,60.48075649,74.02032246,93.68624862,61.35462254,87.32663063,82.76952994,91.95944153,68.63173776,74.1432213,36.50625545,63.21284877,79.70301192
DYNC1I2,NM_001198872,180.5087078,167.0465211,77.57147681,87.46148766,225.5073746,208.5821344,78.12097714,208.5206645,95.67957306,64.27627123,45.74252081,162.5109063,104.9280807,190.1913411,101.6660838,132.0862697,114.4152563,138.3732846
ACOT1,NM_012006,50.29441095,139.5717643,13.63894098,9.206472386,5.637684364,1.854063417,6.300078801,5.416121156,81.72630199,48.9376156,104.4800759,163.5202908,15.32657359,13.37737261,18.53580532,10.62000159,121.0526054,156.6385582
CLDN10,NM_001160099,0,0,0,0,0,0,11.34014184,15.34567661,0,0,0,2.018769023,0,0,0,0,0.632128488,0
JMY,NM_021310,4.133787201,0,0,5.370442225,8.456526547,4.635158542,17.64022064,1.805373719,5.979973316,14.60824346,9.35642471,3.028153534,1.178967199,1.163249793,9.548748198,4.646250694,10.1140558,4.427945107
PITPNA,NM_008850,591.8205343,527.5153297,781.2555878,673.9904992,169.1305309,106.6086465,495.8162017,492.8670252,274.0821103,231.5406589,349.3065225,420.408649,297.0997342,398.7038664,239.8420871,249.9019123,617.9055967,438.9200587
2610015P09RIK,NM_027801,0,4.395961081,4.262169055,0.767206032,6.577298425,2.781095125,37.80047281,13.54030289,25.9132177,36.52060866,31.18808237,13.12199865,4.715868797,8.142748548,16.28904104,8.628751288,15.1710837,32.10260202
BCOR,NM_029510,1.377929067,2.19798054,19.60597765,6.904854289,27.24880776,41.71642688,36.54045705,11.73492917,21.92656883,14.60824346,11.4356302,20.18769023,25.93727838,9.30599834,21.34426068,27.87750416,22.75662556,19.92575298
NDUFS6,NM_010888,179.1307787,174.739453,120.6193843,235.5322519,104.2971607,99.19239281,117.8114736,84.85256477,107.6395197,119.7875964,234.9502205,55.01145587,269.394005,269.292327,242.6505424,226.3387838,206.7060155,249.0719123
ARHGAP10,NM_030113,4.822751735,4.395961081,0.852433811,8.439266353,0,0,0,4.062090867,10.96328441,9.495358251,9.35642471,6.056307068,12.18266106,9.596810788,5.89775624,1.991250297,0.632128488,1.106986277
PAH,NM_008777,0,0,0,0,0,0,0,0,0,0,4.158410982,3.028153534,0,0,0,0,0,0
EHMT1,NM_172545,15.15721974,10.9899027,57.11306534,32.22265335,63.89375613,31.51907809,46.62058313,39.71822181,34.88317768,36.52060866,32.22768511,28.26276632,29.47417998,25.00987054,24.7144071,28.54125426,22.12449707,22.13972553
